time,CI_mean,CI_p90,n_valid
2024-01-16 16:53:28.500000+00:00,0.0005912500200793147,0.00047210059710778296,2030281
2024-02-15 17:12:11.500000+00:00,0.0005385525873862207,0.0003508322697598487,2204191
2024-03-16 16:44:09+00:00,0.0004923066589981318,0.0001664242590777576,1810493
2024-04-16 04:52:02+00:00,0.0004956075572408736,0.0005399586516432464,2151149
2024-05-16 17:01:29+00:00,0.0005003781989216805,0.0008361166692338884,2586974
2024-06-16 05:09:24+00:00,0.0006396860117092729,0.0011957526439800858,2585257
2024-07-16 17:18:47+00:00,0.0009836354292929173,0.002619389444589615,2674750
2024-08-16 17:15:03+00:00,0.0013584751868620515,0.004255122970789671,2938216
2024-09-16 04:39:51.500000+00:00,0.001413924852386117,0.004380481317639351,3168086
2024-10-16 16:49:11+00:00,0.0011279929894953966,0.003454537596553564,3238675
2024-11-16 04:58:35+00:00,0.0008149228524416685,0.002150949789211154,3271899
2024-12-16 16:21:56+00:00,0.0006610566051676869,0.0012595354346558452,2421322
